epoch,train_total_loss,train_supervised_loss,train_consistency_loss,train_accuracy,val_accuracy,val_precision,val_sensitivity,val_specificity,val_macro_f1,val_auroc,epoch_time,validation_time
1,0.5992090449883387,0.5596039570294894,0.039605084233559094,0.7004830917874396,0.6400259909031839,0.75,0.12417218543046357,0.9732620320855615,0.4898533832427051,0.6604933243616531,81.56397247314453,18.356595754623413
2,0.2972332456937203,0.23787629031218016,0.059356954808418565,0.9396135265700483,0.6504223521767382,0.8586956521739131,0.13079470198675497,0.986096256684492,0.5005754364631286,0.7405230725643659,65.35303568840027,18.55972909927368
3,0.21251722826407507,0.15426814670746142,0.05824908442222155,0.9734299516908212,0.6491228070175439,0.9210526315789473,0.11589403973509933,0.9935828877005347,0.4903473482804298,0.7922778623791479,64.8683454990387,16.642990112304688
4,0.1600736488516514,0.09657276020600246,0.06350088979189213,0.9879227053140096,0.645224171539961,0.9833333333333333,0.09768211920529801,0.9989304812834224,0.4757651151415937,0.8187643871516097,63.09909510612488,13.777310371398926
5,0.1264129034601725,0.07524997597703567,0.051162928342819214,0.9975845410628019,0.640675763482781,1.0,0.08443708609271523,1.0,0.46374786161877424,0.8337411906363991,68.84547281265259,17.615288734436035
6,0.10763984460097092,0.05988019332289696,0.047759651278073974,0.9975845410628019,0.6354775828460039,1.0,0.07119205298013245,1.0,0.45107597194150517,0.8404433898785283,68.77863216400146,16.994140148162842
7,0.0981170512162722,0.05520645729624308,0.042910594636431106,0.9975845410628019,0.631578947368421,1.0,0.061258278145695365,1.0,0.44139075370154734,0.8429153238658498,70.20292830467224,17.138789176940918
8,0.09040598685924824,0.05821721613980257,0.032188771006006464,1.0,0.6263807667316439,1.0,0.048013245033112585,1.0,0.4282266740325066,0.8432322838828488,70.83808207511902,17.21514391899109
9,0.0661135115302526,0.03749088326898905,0.02862262840454395,1.0,0.6257309941520468,1.0,0.046357615894039736,1.0,0.42656054317563163,0.8427825193894536,65.50740933418274,12.91644835472107
10,0.05909477833371896,0.03325739603203077,0.025837382194227897,1.0,0.6205328135152697,1.0,0.033112582781456956,1.0,0.4130618769983073,0.8402610050642773,70.13452315330505,12.689516305923462
